Product Name,Old Price,New Price,Discount,Rating,Ratings Count
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,754.0,465,38%,,568.0
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,920.0,465,49%,3.7,1012.0
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,826.0,465,44%,3.9,506.0
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,790.0,395,50%,3.8,913.0
"Fashion 15.6"" Laptop Bag Men Business Backpack With USB Charging Jack Rucksacks Grey",1299.0,699,46%,3.1,32.0
128GB Metal Usb Flash Drive  3D Embossment,1044.0,645,38%,3.5,658.0
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,1505.0,764,49%,3.7,2390.0
LED 2.4G Rechargeable Wireless Mouse,731.0,375,49%,4.5,1135.0
Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,957.0,490,49%,3.8,1036.0
Fashion 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,2735.0,16741860,39%,4.3,356.0
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,826.0,493,40%,4.1,168.0
RichRipple Desktop Mobile Phone Holder Portable Foldable Phone Stands,399.0,232,42%,4.3,187.0
Stereo F9 Bluetooth Earphone  Power Headset,932.0,457,51%,3.8,1608.0
RichRipple 3-Cables Portable Power Bank 10000mAh Fast Charger,1561.0,912,42%,3.9,456.0
Fashion Men Shoes Sneakers Skateboarding Shoes Sport Shoes Running Sneakers Casual Shoes,13711913.0,9891099,48%,3.9,360.0
Fast Charging 10000mAh Power Charging Bank Black,1150.0,736,36%,3.7,280.0
"Huawei Y7 Pro 4G LTE, 6.26"", 4GB +128GB, Dual SIM (Refurbished), 4000mAh, Black",16598.0,8067,51%,3.6,129.0
Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,1249.0,606,51%,3.7,449.0
Fashion New Young Fashion Trendy Board Shoes - Blue,26063057.0,1590,48%,3.9,88.0
Fashion Men's Trendy Sneakers - White,2223.0,13411490,40%,,204.0
RichRipple Pro6 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,1009.0,558,45%,3.7,165.0
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,26322.0,18820,29%,,328.0
