Product Name,Price Before,Price After,Discount
Ramtons RM/399-corded Electric Kettle 1.7 Ltrs- White (1YR WRTY),,"1,329",29%
Poshy Poshy Roll Poa 10s Wrapped,,"1,499",No discount
Danone Danone Cow & Gate First – 900g,,"2,999",18%
Ramtons RM/585- Oil Free Digital Air Fryer - Black (1YR WRTY),,"11,537",13%
Ramtons RM/609-cordless Electric Kettle 1.7 Litres- Black & Red (1YR WRTY),,"1,858",12%
"Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow, (1YR WRTY)",,"1,549",48%
"Nunix NU-M6 3.1CH Mini Home Theater Sub Woofer Speaker System, 2800W – Black",,"6,999",6%
Sonar C7 Hot And Normal Water Dispenser -blue And White (1YR WRTY),,"3,499",30%
Ramtons RF/334 - Single Door Refrigerator - 85Liters Dark Silver(1 YR WRTY),,"24,950",No discount
Rashnik TV Wall Mount TV Stand For 40” – 80”,,549,10%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,,"12,699",5%
"Vision Plus Power Bank 10000mAh VPPB10D - Black, (2YRS WRTY)",,"1,599",41%
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY) (1YR WRTY),,"16,499",28%
Vision Plus Moove Neckband - Black,,"1,199",52%
Vision Plus Fast Charger - Black,,699,49%
Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer,,"1,440",40%
150W LED UV Nail Gel Polish Dryer Lamp Light Machine 4 Timers Nail Dryer,,"1,824",44%
Ushas Brow Fixing Soap Strawberry Makeup Eyebrows Gel Shaping wax Kit,,270,46%
Mascara/ Eyeliner,,180,28%
Maybelline Fit Me Concealer - 40 Caramel,,"1,045",No discount
Maybelline Superstay Vinyl  Ink 55 Royal,,"1,677",40%
Fit Colors Liquid Foundation Matte & Poreless Foundation 30ml,,60,45%
Maybelline Superstay Skin Tint Shade  77 With Vitamin C,,"2,500",No discount
Maybelline Lasting Fix Setting Spray,,"1,554",30%
Maybelline Fit Me Powder 330 Toffee,,"1,420",No discount
Micolor 5PCs Fit Me Matte Poreless Powder+Liquid Foundation+Primer+Finish Spray+Concealer& FREE MakeUp Bag,,899,10%
Maybelline SuperStay 30H Active Wear Foundation- 79 WARM CHESTNUT,,"2,400",No discount
Maybelline SuperStay 30H Active Wear Foundation- 64 CHESTNUT,,"2,400",No discount
